"discordance"	"allele_discordance"	"n_masked"	"n_unfilled"	"mask"	"af_bin"	"id"
0.025	0.015	200	1	1	"ALL"	"beagle"
0	0	8	0	1	"[0,0.01]"	"beagle"
0.133333	0.1	15	1	1	"(0.01,0.05]"	"beagle"
0	0	24	0	1	"(0.05,0.1]"	"beagle"
0.019608	0.009804	153	0	1	"(0.1,0.5]"	"beagle"
0.025	0.015	200	1	2	"ALL"	"beagle"
0	0	8	0	2	"[0,0.01]"	"beagle"
0.066667	0.066667	15	1	2	"(0.01,0.05]"	"beagle"
0	0	24	0	2	"(0.05,0.1]"	"beagle"
0.026144	0.013072	153	0	2	"(0.1,0.5]"	"beagle"
0.025	0.015	200	1	3	"ALL"	"beagle"
0	0	8	0	3	"[0,0.01]"	"beagle"
0.066667	0.066667	15	1	3	"(0.01,0.05]"	"beagle"
0.041667	0.020833	24	0	3	"(0.05,0.1]"	"beagle"
0.019608	0.009804	153	0	3	"(0.1,0.5]"	"beagle"
