mask	sample	marker
1	ID17	rsV001
1	ID05	rsV002
1	ID01	rsV003
1	ID10	rsV004
1	ID04	rsV005
1	ID18	rsV006
1	ID17	rsV007
1	ID15	rsV008
1	ID07	rsV009
1	ID04	rsV010
1	ID05	rsV011
1	ID14	rsV012
1	ID20	rsV013
1	ID18	rsV014
1	ID16	rsV015
1	ID03	rsV016
1	ID09	rsV017
1	ID04	rsV018
1	ID05	rsV019
1	ID13	rsV020
1	ID05	rsV021
1	ID20	rsV022
1	ID02	rsV023
1	ID08	rsV024
1	ID03	rsV025
1	ID01	rsV026
1	ID10	rsV027
1	ID11	rsV028
1	ID15	rsV029
1	ID08	rsV030
1	ID04	rsV031
1	ID04	rsV032
1	ID19	rsV033
1	ID13	rsV034
1	ID05	rsV035
1	ID04	rsV036
1	ID02	rsV037
1	ID18	rsV038
1	ID03	rsV039
1	ID17	rsV040
1	ID18	rsV041
1	ID06	rsV042
1	ID06	rsV043
1	ID02	rsV044
1	ID20	rsV045
1	ID03	rsV046
1	ID02	rsV047
1	ID06	rsV048
1	ID10	rsV049
1	ID08	rsV050
1	ID05	rsV051
1	ID01	rsV052
1	ID17	rsV053
1	ID07	rsV054
1	ID04	rsV055
1	ID13	rsV056
1	ID10	rsV057
1	ID10	rsV058
1	ID12	rsV059
1	ID20	rsV060
1	ID09	rsV061
1	ID11	rsV062
1	ID03	rsV063
1	ID16	rsV064
1	ID05	rsV065
1	ID14	rsV066
1	ID05	rsV067
1	ID02	rsV068
1	ID18	rsV069
1	ID17	rsV070
1	ID18	rsV071
1	ID05	rsV072
1	ID14	rsV073
1	ID08	rsV074
1	ID08	rsV075
1	ID04	rsV076
1	ID04	rsV077
1	ID07	rsV078
1	ID10	rsV079
1	ID18	rsV080
1	ID13	rsV081
1	ID19	rsV082
1	ID16	rsV083
1	ID17	rsV084
1	ID12	rsV085
1	ID09	rsV086
1	ID11	rsV087
1	ID16	rsV088
1	ID08	rsV089
1	ID06	rsV090
1	ID01	rsV091
1	ID13	rsV092
1	ID14	rsV093
1	ID05	rsV094
